Time_s,FrameCount,X_px,Y_px,Amp_X,Freq_Hz,FPS
16.6855,310,360.3711656441718,414.1707566462168,505.26232486905843,0.36826995702453,36.68
16.7446,311,380.1691195455719,414.60315001290985,,,33.74
16.8284,312,424.0889649272883,417.31422868548617,,,37.57
16.8610,313,502.5187250996016,420.05365205843293,,,36.88
16.9142,314,502.5187250996016,420.05365205843293,,,34.04
16.9943,315,585.6916312056737,421.15290780141845,505.26232486905843,0.36826995702453,45.11
17.0442,316,642.652977412731,421.22347707049965,,,42.70
17.1116,317,672.3628140703518,420.77286432160804,,,39.26
17.1758,318,754.9462025316456,418.62095639943743,,,40.37
17.2020,319,780.8822975517891,417.86126804770873,,,39.82
17.2817,320,804.6248391248391,416.52413127413126,505.26232486905843,0.36826995702453,36.70
17.3410,321,849.4635783820074,413.7317891910037,,,37.55
17.3771,322,889.5327407407408,410.5597037037037,,,37.60
17.4547,323,906.1442528735632,409.32385057471265,,,34.68
17.5050,324,934.7760094311818,407.1296787503684,,,36.40
17.5351,325,956.7837686043247,405.1850603762988,505.26232486905843,0.36826995702453,36.02
17.5861,326,964.9305439330544,404.40781032078104,,,33.22
17.6707,327,975.2282828282828,403.9670995670996,,,34.79
17.7047,328,977.5313725490196,403.5173669467787,,,35.79
17.7516,329,977.5313725490196,403.5173669467787,,,33.01
17.8423,330,963.547787378895,403.8193244304792,505.26232486905843,0.36826995702453,36.64
17.8733,331,954.9409246575342,404.81763698630135,,,36.13
17.9215,332,944.1115691123935,405.5314646881011,,,33.33
18.0097,333,917.7592290988057,407.8911509229099,,,35.98
18.0438,334,885.5650596163815,410.364955935718,,,36.27
18.0984,335,866.4045124899275,411.7579908675799,505.26232486905843,0.36826995702453,33.39
18.1880,336,799.366151342555,415.79142934635206,,,40.18
18.2328,337,748.7594680543509,417.4966753396935,,,38.72
18.3128,338,722.7788435917932,418.0426325606182,,,35.61
18.3757,339,666.5765472312703,419.2687296416938,,,36.71
18.4055,340,606.7025462962963,419.9519675925926,505.26232486905843,0.3674953909241307,36.48
18.4647,341,579.6576992057392,419.24391493722777,,,33.66
18.5363,342,524.0581896551724,419.35272988505744,,,35.86
18.5754,343,469.2861869313482,418.33443617314583,,,35.70
18.6048,344,444.6058779201206,416.82190404421,,,36.83
18.6757,345,419.6452955870108,416.2275881210103,505.26232486905843,0.3674953909241307,34.08
18.7153,346,377.65527661552767,413.7954439795444,,,35.71
18.7522,347,358.3658655013353,412.33163389172125,,,35.54
18.8563,348,340.0389261744966,411.5035794183445,,,32.77
18.8996,349,295.53858232391207,409.2819650067295,,,34.19
18.9264,350,285.93002459199636,409.3919069975408,505.26232486905843,0.3674953909241307,36.58
19.0185,351,271.911841791756,408.1501072194425,,,33.68
19.0611,352,263.64986225895314,406.38429752066116,,,69.28
19.0948,353,263.33962264150944,406.9048400328138,,,64.63
19.1439,354,267.71691176470586,408.23627450980393,,,59.07
19.2164,355,288.9249889036839,409.5940967598757,505.26232486905843,0.3674953909241307,57.48
19.2584,356,288.9249889036839,409.5940967598757,,,55.30
19.2868,357,299.5868356682232,410.2781854569713,,,54.59
19.3364,358,312.24317325800376,410.8006120527307,,,49.95
19.4102,359,359.9752755436401,414.50580875781947,,,49.38
19.4452,360,381.42729112460245,414.7721884937843,505.26232486905843,0.3674953909241307,48.51
19.4962,361,403.7319695777603,416.28927353789663,,,44.52
19.5778,362,450.2125563063063,418.99605855855856,,,46.80
19.6141,363,503.6489151873767,420.2814877430262,,,45.56
19.6935,364,531.6519967400163,420.67726161369194,,,41.88
19.7314,365,588.0582608695652,421.7008695652174,505.26232486905843,0.3674953909241307,42.10
19.7654,366,644.1225908372828,421.12259083728276,,,42.54
19.8084,367,644.1225908372828,421.12259083728276,,,39.17
19.8890,368,755.8114478114478,418.8484848484849,,,39.90
19.9224,369,755.8114478114478,418.8484848484849,,,39.91
19.9766,370,781.7521367521367,417.91418803418804,505.26232486905843,0.3674953909241307,36.80
20.0655,371,871.4075036075036,412.35180375180374,,,39.38
20.1089,372,888.6247261345852,411.31549295774647,,,37.75
20.1944,373,888.6247261345852,411.31549295774647,,,34.97
20.2197,374,934.6002936857562,407.2358296622614,,,36.24
20.2473,375,946.111301369863,406.4041095890411,505.26232486905843,0.3674953909241307,36.81
20.3050,376,955.7921440261866,405.1734860883797,,,33.97
20.3773,377,970.3672169128295,404.2583260932522,,,35.85
20.4119,378,977.0709515859767,402.9540901502504,,,35.94
20.4877,379,977.6311521252796,403.23350111856826,,,33.18
20.5442,380,973.1654441727792,403.6623200217332,505.26232486905843,0.3674953909241307,34.65
20.5781,381,962.1118439131629,404.1327287716406,,,34.83
20.6401,382,954.1170718077675,405.10449846325787,,,32.17
20.7146,383,916.0137429264349,407.78253839935326,,,35.16
20.7490,384,900.3737294761532,409.04925723221265,,,35.20
20.8243,385,882.9854946330142,410.81781259065855,505.26232486905843,0.3674953909241307,32.56
20.8675,386,844.5629997242901,412.7242900468707,,,36.24
20.9013,387,797.8208265361609,415.50326264274065,,,37.52
20.9833,388,797.8208265361609,415.50326264274065,,,34.52
21.0343,389,691.0756589147287,418.4784496124031,,,37.78
21.0681,390,665.2600417318727,419.33854981742303,505.26232486905843,0.36620219342882165,36.94
21.1023,391,634.5872023809524,419.7008928571429,,,38.21
21.1603,392,634.5872023809524,419.7008928571429,,,35.39
21.2076,393,606.5354131534571,419.65064643057895,,,36.23
21.2399,394,522.721241305511,419.0987158908507,,,36.49
21.2740,395,496.5041509433962,418.4465408805031,505.26232486905843,0.36620219342882165,34.49
