Time_s,FrameCount,X_px,Y_px,Amp_X,Freq_Hz,FPS
18.8772,355,789.8954703832753,417.4253774680604,501.9802079158296,0.36538126653363245,38.17
18.9101,356,740.6954301075268,418.3051075268817,,,41.18
18.9533,357,711.9455984174085,419.4348829541708,,,40.45
19.0054,358,685.3873303167421,419.65067873303167,,,37.28
19.0690,359,597.6517115320704,419.6686606846128,,,40.84
19.1025,360,570.8079914186109,419.81710914454277,501.9802079158296,0.3669834710165318,40.01
19.1736,361,570.8079914186109,419.81710914454277,,,36.87
19.2364,362,486.71541950113374,417.87925170068024,,,39.39
19.2667,363,436.1816433086012,416.5163506457818,,,40.06
19.3176,364,436.1816433086012,416.5163506457818,,,36.87
19.3914,365,371.7547169811321,413.02201257861634,501.9802079158296,0.3669834710165318,45.20
19.4295,366,352.2422451994091,411.19719350073854,,,43.91
19.4935,367,352.2422451994091,411.19719350073854,,,40.31
19.5625,368,293.00838852097127,408.0514348785872,,,47.31
19.6087,369,277.48595505617976,406.935627340824,,,44.79
19.6609,370,271.5919456574478,406.1572052401747,501.9802079158296,0.3669834710165318,41.26
19.7308,371,263.53717421124827,405.1185185185185,,,41.67
19.7633,372,265.67479014351477,405.6647711887355,,,41.35
19.8077,373,265.67479014351477,405.6647711887355,,,38.17
19.8941,374,284.3271773825809,407.67327861377106,,,37.26
19.9199,375,293.0929073192839,408.4887831407206,501.9802079158296,0.3669834710165318,37.65
20.0059,376,304.9180926306183,409.08852384211724,,,34.73
20.0469,377,332.0444444444444,410.4687338501292,,,38.01
20.0817,378,369.2818961169944,413.0504286434695,,,37.36
20.1151,379,388.2664349840718,414.55603822762816,,,37.81
20.1901,380,411.2637302882001,415.2278412180533,501.9802079158296,0.3669834710165318,35.07
20.2127,381,459.36284321272774,418.19040287400566,,,35.35
20.2494,382,459.36284321272774,418.19040287400566,,,36.83
20.2901,383,512.4590032154341,419.5139335476956,,,33.92
20.3928,384,597.5622016287559,421.3063746138725,,,39.48
20.4287,385,624.4402209226771,421.2098765432099,501.9802079158296,0.3669834710165318,38.86
20.5016,386,653.8254747871644,421.4836280288147,,,35.80
20.5672,387,738.4156626506024,419.30689424364124,,,36.94
20.6020,388,764.6902499120029,418.93171418514606,,,36.41
20.6362,389,790.2548430193721,417.49498997995994,,,33.66
20.7164,390,857.1940441882805,414.83317323086777,501.9802079158296,0.3669834710165318,36.14
20.7551,391,877.1035598705502,413.19514563106793,,,35.92
20.8160,392,896.5266307600239,412.0792938360263,,,33.17
20.8857,393,927.0559884559884,409.26897546897544,,,35.29
20.9271,394,960.0119047619048,406.1478405315614,,,35.36
20.9725,395,967.7896103896104,406.14862914862914,501.9802079158296,0.3669834710165318,32.80
21.0295,396,973.735669654985,405.11735941320296,,,35.80
21.0695,397,973.735669654985,405.11735941320296,,,36.37
21.1564,398,978.8746202706434,405.29494614747307,,,33.54
21.1974,399,973.4783319705642,405.41319160534204,,,34.21
21.2325,400,968.8864714086471,405.40306834030685,501.9802079158296,0.3669834710165318,35.53
21.3368,401,952.1129385964912,406.93859649122805,,,32.87
21.3595,402,927.0153032832499,409.3750695603784,,,42.68
21.3992,403,912.7154953429297,410.1721704769969,,,40.81
21.4454,404,896.2598334768877,410.7786391042205,,,37.78
21.5004,405,838.0731837606837,414.6014957264957,501.9802079158296,0.3669834710165318,39.03
21.5373,406,815.3425705991026,415.65215096331485,,,38.23
21.6014,407,815.3425705991026,415.65215096331485,,,35.29
21.6707,408,764.6439873417721,417.73707805907173,,,36.08
21.7034,409,683.7617056856187,419.34057971014494,,,37.85
21.7976,410,656.3476759628154,419.66082337317397,501.9802079158296,0.3667383698676438,34.95
21.8310,411,597.2327811682651,419.8581807614066,,,38.49
21.8751,412,541.0618556701031,419.2823156225218,,,36.91
21.9155,413,514.22,418.92024691358023,,,34.22
21.9776,414,488.7618694362018,417.32962413452026,,,36.14
22.0121,415,436.7041025641025,415.76384615384615,501.9802079158296,0.3667383698676438,35.58
22.0760,416,413.45529640427594,414.9001457725948,,,32.90
22.1401,417,352.39801699716713,411.44830028328613,,,36.41
22.1745,418,335.9574166075231,410.22332623610123,,,36.05
22.2251,419,335.9574166075231,410.22332623610123,,,33.28
22.3053,420,284.9979647218453,407.74174581637266,501.9802079158296,0.3667383698676438,32.95
22.3397,421,277.3664984378755,407.2410478250421,,,32.56
22.3972,422,272.265325005783,406.76359009946793,,,30.12
22.4634,423,266.1077441077441,406.1911421911422,,,124.72
22.5013,424,267.3913262733232,406.37266767523954,,,114.45
22.5504,425,267.3913262733232,406.37266767523954,495.32362167525275,0.3667383698676438,103.92
22.6253,426,285.42818971275886,407.84880872856826,,,100.85
22.6522,427,285.42818971275886,407.84880872856826,,,93.78
22.6858,428,307.0617283950617,409.29035208047554,,,89.25
22.7699,429,319.7145274353396,410.0969301426154,,,81.29
22.7967,430,348.8907839616995,412.6463195691203,450.28536310404564,0.3667383698676438,77.87
